summarize: Violet: hi! i came across this Austin's article and i thought that you might find it interesting Violet: <file_other> Claire: Hi! :) Thanks, but I've already read it. :) Claire: But thanks for thinking about me :)	Violet sent Claire Austin's article.
summarize: Pat: So does anyone know when the stream is going to happen? Lou: Unfortunately, no, but would really like to. Kevin: I don't think I'd be interested in this. Pat: Y? Kevin: Seeing all the blood and internal organs makes me dizzy. Lou: So you're so gentle? Pat: C'mon! Srsly? Kevin: Yup. Had the same thing since I was a child. Lou: Maybe it's time to change it? Pat: Yeah! Give it a try!	Pat and Lou are waiting for The stream but Kevin is not interested as it makes him dizzy.  
summarize: Jane: <gif_file> Jane: Whaddya think?  Shona: This ur tinder profile thing? Jane: Yeah, I'm updating my profile tonite. Kinda nervoous though... :(  Jane: What if i get another guy like John? o.O Shona: John was a dickhead Jane: preach sistah! Shona: anyhoo - this time I've got u :D No slimeballs for you  Jane: Not again *shudders* Jane: You know he forgot my birthday??!! Shona: wanker	Jane is updating her Tinder profile tonight and together with Shona they don't want to find another guy like John, who forgot Jane's birthday.
summarize: Adam: Do u have a map of Paris? Tom: Yes, Why? A trip? Adam: No, it's for Lisa and her mum.	Tom has a map of Paris.
summarize: Frank: Hi, how's the family? Mike: great! Sam's moved out, finally! We thought he'd never leave.... I'm turning his room into a home gym, got to start getting fit again! You all ok? Frank: yes, Freda is still in the office, me still slogging away at the college.  Mike: you two on speaking terms yet? Frank: Not so you'd notice. Few words now and again, y'know! Mike: bloody Brexit! Frank: yeah, you'd never have thought a few years ago that this would have happened. 30 years, never a cross word, then that bastard referendum happened! Mike: what was she thinking? Frank: No idea, perhaps she was in love with Nigel Bloody Farage!  Or Boris! She certainly believed all the crap they were spouting! I don't know why she didn't use her head. Mike: yes, I mean, the EU has done so much around her. Doesn't Freda swim at the new sports centre? Frank: exactly, areas like ours have benefited so much from EU money! It's a crying shame whats happened. I've tried getting through to her, but she's adamant she's right. Mike: women, eh! That said, I believed all the crap the leave campaign came up with and Bobbi persuaded me to vote to stay. Frank: Not that it matters now, of course, especially with the No Deal thing looming! Mike: shall I try and talk to Freda when I come on Friday? Anything to help a mate. Frank: yes, I'd appreciate that Mike. You and Freda always got on. Particularly after that amazing holiday in 87, remember Cyprus! We'd not long been married. Mike: Oh, vague memories, Frank, so long ago now. Anyway, Bobbi's just got In from work and I'm making dinner tonight, Spaghetti and meatballs, my speciality! Frank: see you Friday, remember to pop in now!	Mike is happy, because Sam's moved out. Mike and Frank grumble about Brexit. Frank is in dispute with Freda, because she voted for Brexit. Mike will talk to Freda in order to help Frank.
summarize: Paul: Lucky you! John: ? Pete: Our classess have been cancelled? Paul: That's right! John: I didin't know.	John, Pete and Paul's classes have been cancelled.
summarize: Jasper: i miss you so much already :( Karen: i know... i miss you too Jasper: it has only been 3 days and it feels like forever :( Karen: i know... but you will be back on sunday, right? :* Jasper: yeah i will! :) Karen: how about we spend the whole day in bed? Jasper: that sounds like a dream!! Karen: yeah, we can order something, watch netflix, sleep till the afternoon Jasper: it could not get any more perfect!! :* Karen: ye <3 i love spending time with you sweetie Jasper: and i love spending time without you :) you are my favourite person Karen: awwww <3 so cute Jasper: i have a special gift for you  Karen: really what is it ??? Jasper: i can't telly you, you will find out on sunday :))) Karen: ahhh now i won't stop thinking about it :( Jasper: good haha :*	Karen will be back on Sunday. Karen and Jasper are going to spend the whole day in bed. They will order food, watch Netflix, and sleep until the afternoon. Jasper has a special gift for Karen.
summarize: Ken: how long do you need? Jude: i think about 10 minutes Ken: ok so i will wait inside Jude: ok, it's freezing	Ken will wait inside as Jude needs 10 more minutes.
summarize: Victoria: Hey, I am in the toilet...And.. Skylar: I know. Why are you sending me texts?  Skylar: The food is getting cold. Come quick! Victoria: Well....The thing is that...There is no toilet paper(・_・;).  Victoria: <file_photo> Victoria: Can you ask the waitress to bring some or could you? O_O Skylar: What? XD XD XD. Okay. Im coming now. Just a sec. Skylar: This is hillourious! XD	Victoria is in a restaurant toilet and texts Skylar to bring her toilet paper, as there is none in the toilet.
summarize: Sandra: Do u need any help with the party tomorrow? Ronda: No, I'm fine. Thanks! Sandra: No problem. 	Ronda does not need any help with the party tomorrow.
